id;title;description;availability;condition;price;link;image_link;brand;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;Barros Luco;Pan con carne y queso.;in stock;new;2000 CLP;https://sites.google.com/view/barlacteo;https://i.imgur.com/mUcw65P.png;Bar Lacteo;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2;Ave palta;Pan de miga o allulla, palta, pasta de pollo y mayonesa.;in stock;new;1700 CLP;https://sites.google.com/view/barlacteo;https://barlacteo-catalogo.s3.us-east-1.amazonaws.com/Ave_palta.png;Bar Lacteo;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3;Chacarero;Hallullon con poroto verde, tomate, mayo, carne.;in stock;new;2700 CLP;https://sites.google.com/view/barlacteo;https://barlacteo-catalogo.s3.us-east-1.amazonaws.com/Chacarero.png;Bar Lacteo;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4;Pizza;Pizza napolitana;in stock;new;1500 CLP;https://sites.google.com/view/barlacteo;https://barlacteo-catalogo.s3.us-east-1.amazonaws.com/pizza_individual.png;Bar Lacteo;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5;Aliado;Pan, Jamon y Queso;in stock;new;1700 CLP;https://sites.google.com/view/barlacteo;https://barlacteo-catalogo.s3.us-east-1.amazonaws.com/Aliado.png;Bar Lacteo;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
6;Churrasco Completo;Carne, queso, tomate, palta, mayo;in stock;new;2700 CLP;https://sites.google.com/view/barlacteo;https://barlacteo-catalogo.s3.us-east-1.amazonaws.com/churrasco_completo.jpg;Bar Lacteo;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
7;Churrasco Italiano;Hallullon, carne , tomate, palta y mayonesa.;in stock;new;2300 CLP;https://sites.google.com/view/barlacteo;https://barlacteo-catalogo.s3.us-east-1.amazonaws.com/churrasco_italiano.png;Bar Lacteo;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8;Italiano XL;Vienesa, tomate, palta, mayo;in stock;new;3000 CLP;https://sites.google.com/view/barlacteo;https://barlacteo-catalogo.s3.us-east-1.amazonaws.com/completo_italiano.png;Bar Lacteo;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
9;Italiano Normal;Completo palta, tomate y mayo;in stock;new;1700 CLP;https://sites.google.com/view/barlacteo;https://barlacteo-catalogo.s3.us-east-1.amazonaws.com/completo_italiano.png;Bar Lacteo;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
10;Huevo con jamon;Sandwich  de huevo con jamon;in stock;new;1700 CLP;https://sites.google.com/view/barlacteo;https://barlacteo-catalogo.s3.us-east-1.amazonaws.com/Huevo_jamon.jpg;Bar Lacteo;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
